method,value,seed,n_slots,mean,p95,p99,csr,completion,load_cv,gini
pso-w:0.0,12,0,200,30.0436178421479,76.4612279918134,92.69153848664877,0.1176706827309237,0.9409638554216867,0.4480142993560784,0.23866738103441665
pso-w:0.0,12,1,200,29.509701828227232,75.5544812953669,89.99282492676959,0.11060668592653736,0.9426330994634751,0.4498800326974142,0.2520081802724119
pso-w:0.0,12,2,200,32.46781595792376,79.95085827799996,96.80157421138645,0.1270578303081469,0.9286618826509075,0.48564233549181507,0.2639607851557654
pso-w:0.0,12,3,200,32.41354943482413,78.94662542911495,91.84195473157237,0.12217573221757322,0.9330543933054394,0.3095030646115275,0.1762310029307651
pso-w:0.0,12,4,200,28.57794840592695,74.12080288245788,90.03767546193733,0.10198300283286119,0.9498178874949413,0.43974787098697216,0.23762528030300856
pso-w:0.0,12,5,200,32.01618341515989,78.01263042627585,91.53993327827261,0.12189995796553174,0.932324506094998,0.5200978499111688,0.29031671618444066
pso-w:0.0,12,6,200,28.89533138836403,73.27428644862272,85.26112901248365,0.09410288582183186,0.9510664993726474,0.2826696533882614,0.15820631196355606
pso-w:0.0,12,7,200,28.49233223887452,73.90851124239634,86.78683423549933,0.0989804587935429,0.9426508071367884,0.474299221516848,0.2526686527823725
pso-w:0.0,12,8,200,29.10269234049648,75.11438110534905,87.69399578978783,0.100251677852349,0.9442114093959731,0.36277804668165303,0.19296844946738645
pso-w:0.0,12,9,200,25.755125871088246,69.03239405341178,83.7185621557483,0.08297872340425531,0.9625531914893617,0.21996268437542296,0.1184790396527502
pso-w:0.0,12,10,200,29.442775886783018,75.89381271747371,91.59767593268593,0.10927573062261753,0.9440914866581956,0.42721450749612994,0.23962188244995997
pso-w:0.0,12,11,200,33.52209003617462,81.21760020254989,95.10759338009652,0.12786745964316057,0.9231096006796942,0.4786727298666908,0.26811022596483913
pso-w:0.0,12,12,200,32.199082191524106,80.28940668172365,93.867365821887,0.11338912133891213,0.9305439330543933,0.34750252910404417,0.1923040671034716
pso-w:0.0,12,13,200,29.222951623302787,74.88989563640835,89.56592926149297,0.104,0.9397894736842105,0.5207022221180675,0.29026689041530584
pso-w:0.0,12,14,200,26.768290589234255,70.37116464657439,82.575886979102,0.08588957055214724,0.9566462167689161,0.27527348311230193,0.15563131270700215
pso-w:0.0,12,15,200,31.075643577423936,78.92395859314966,91.85730692999944,0.11704834605597965,0.9296013570822731,0.4888785579354564,0.2712265420026502
pso-w:0.0,12,16,200,30.606692252122908,76.82183206796178,89.50531311993281,0.11073965733389052,0.946510656080234,0.4699190080828646,0.24377463319722958
pso-w:0.0,12,17,200,30.58531941198695,76.52432569953031,91.44417097199256,0.10921926910299003,0.9406146179401993,0.24283459372527869,0.1308342031203087
pso-w:0.0,12,18,200,29.523252501908246,75.99407237607026,89.78484983011457,0.10416666666666667,0.9411057692307693,0.35226519058214123,0.18230536893972982
pso-w:0.0,12,19,200,29.949769334208444,75.4063595623692,91.67581424343138,0.10874025441116127,0.9478867459991793,0.33200614538922113,0.17932725808642458
pso-w:0.0,12,20,200,32.18884967771109,79.59062291386142,94.90760051344473,0.11807024968260686,0.932289462547609,0.4254628659022301,0.22308360367383917
pso-w:0.0,12,21,200,29.101524239729592,75.18534223003508,88.300508219539,0.10850694444444445,0.9383680555555556,0.556586162527109,0.2935999219959533
pso-w:0.0,12,22,200,29.38657679987354,75.31043288794649,88.63130017942245,0.11257731958762887,0.9418556701030928,0.34164931488049016,0.18852327284157122
pso-w:0.0,12,23,200,31.717266230907764,79.2667455606859,90.71419726347781,0.122622420072845,0.9307972480777014,0.4104419345994186,0.21177917708547378
pso-w:0.0,12,24,200,29.194133914063713,74.80259913668898,90.54024844877034,0.09507782919646614,0.9474127050904502,0.3632159180627316,0.18381413933228286
pso-w:0.0,12,25,200,32.7002836466913,78.62166326550704,93.72179446608979,0.1265164644714038,0.9332755632582322,0.44227156352325564,0.24796733700979934
pso-w:0.0,12,26,200,29.973911745601658,74.59000435391677,89.09003872287586,0.10714285714285714,0.9432773109243697,0.4266415186780588,0.22462239594539368
